id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,gene,pval.fdr,log.pval.fdr,chr,snp_pos_gmean,OR,CI_lower,CI_upper
11424_4_FAH,ieu-b-18,multiple sclerosis || id:ieu-b-18,11424_4_FAH,Inverse variance weighted,9,-0.004723229,0.126748599,0.970274072,FAH,0.998431193,0.000681859,15,80198566.7,0.995287908,0.776351046,1.275966619
11431_235_RECQL,ieu-b-18,multiple sclerosis || id:ieu-b-18,11431_235_RECQL,Inverse variance weighted,4,-0.017732832,0.06678992,0.790623056,RECQL,0.993478776,0.002841407,12,21460962.96,0.982423469,0.861878409,1.119828345
11441_11_PYGL,ieu-b-18,multiple sclerosis || id:ieu-b-18,11441_11_PYGL,Inverse variance weighted,2,-0.080755603,0.142907702,0.572013074,PYGL,0.977196122,0.010018265,14,50898856.57,0.9224191,0.697080278,1.220601161
11510_31_APOL1,ieu-b-18,multiple sclerosis || id:ieu-b-18,11510_31_APOL1,Inverse variance weighted,9,0.028652003,0.047736696,0.548366845,APOL1,0.977196122,0.010018265,22,36297693.6,1.02906642,0.937150002,1.129998072
11514_196_CD59,ieu-b-18,multiple sclerosis || id:ieu-b-18,11514_196_CD59,Inverse variance weighted,4,-0.292970155,0.086935391,0.000751748,CD59,0.048111878,1.317747695,11,33828815.5,0.746044406,0.629163877,0.884637972
11530_37_HMBS,ieu-b-18,multiple sclerosis || id:ieu-b-18,11530_37_HMBS,Inverse variance weighted,2,-0.421418585,0.564657253,0.455470299,HMBS,0.964143158,0.015858476,11,119060832.7,0.656115404,0.216937323,1.984386167
11531_24_C10orf54,ieu-b-18,multiple sclerosis || id:ieu-b-18,11531_24_C10orf54,Inverse variance weighted,8,-0.058918017,0.055521795,0.288613029,C10orf54,0.890498002,0.05036705,10,71825900.45,0.942784058,0.845573034,1.051170916
11568_2_FKBP1B,ieu-b-18,multiple sclerosis || id:ieu-b-18,11568_2_FKBP1B,Inverse variance weighted,5,-0.071022141,0.06936821,0.305909539,FKBP1B,0.902817555,0.044400005,2,24078299.61,0.931441269,0.813032795,1.067094517
11646_4_CHST9,ieu-b-18,multiple sclerosis || id:ieu-b-18,11646_4_CHST9,Inverse variance weighted,7,-0.003556604,0.059933135,0.952679021,CHST9,0.998431193,0.000681859,18,27185330.31,0.996449713,0.886011324,1.120653884
11649_3_SMAP1,ieu-b-18,multiple sclerosis || id:ieu-b-18,11649_3_SMAP1,Inverse variance weighted,5,-0.059376402,0.047750313,0.213692212,SMAP1,0.835617716,0.077992361,6,70689610.56,0.942351999,0.858158028,1.034806249
11656_110_EVL,ieu-b-18,multiple sclerosis || id:ieu-b-18,11656_110_EVL,Inverse variance weighted,2,0.286881165,0.199819413,0.151087108,EVL,0.770087598,0.113459871,14,100080086.3,1.332265885,0.900536227,1.970972776
11696_7_CRABP2,ieu-b-18,multiple sclerosis || id:ieu-b-18,11696_7_CRABP2,Inverse variance weighted,6,0.076497754,0.054448501,0.160034335,CRABP2,0.770087598,0.113459871,1,156753571.3,1.079499765,0.970230789,1.201074792
12016_60_CBL,ieu-b-18,multiple sclerosis || id:ieu-b-18,12016_60_CBL,Inverse variance weighted,2,0.069624738,0.119498526,0.560135013,CBL,0.977196122,0.010018265,11,119162080.8,1.072105786,0.848239399,1.355054737
12041_33_HSPA1L,ieu-b-18,multiple sclerosis || id:ieu-b-18,12041_33_HSPA1L,Inverse variance weighted,4,-0.732801399,0.207278175,0.000407232,HSPA1L,0.039657684,1.401672651,6,31905268.13,0.48056086,0.320117673,0.721418276
12333_87_RPIA,ieu-b-18,multiple sclerosis || id:ieu-b-18,12333_87_RPIA,Inverse variance weighted,2,-0.014267614,0.114148954,0.900530523,RPIA,0.998431193,0.000681859,2,88797250.73,0.985833686,0.788203034,1.233017401
12338_27_EGFLAM,ieu-b-18,multiple sclerosis || id:ieu-b-18,12338_27_EGFLAM,Inverse variance weighted,3,-0.018418565,0.089304955,0.836600722,EGFLAM,0.998431193,0.000681859,5,38384719.94,0.98175002,0.824105868,1.169550102
12370_30_APOF,ieu-b-18,multiple sclerosis || id:ieu-b-18,12370_30_APOF,Inverse variance weighted,2,0.123985538,0.111637828,0.26673838,APOF,0.886168581,0.052483652,12,56426037.02,1.131999499,0.909532448,1.408880871
12378_71_TAPBP,ieu-b-18,multiple sclerosis || id:ieu-b-18,12378_71_TAPBP,Inverse variance weighted,8,0.111996274,0.170963158,0.512409737,TAPBP,0.977196122,0.010018265,6,33223184.4,1.118508694,0.80004163,1.563745748
12381_26_CBR1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12381_26_CBR1,Inverse variance weighted,5,0.032155712,0.090879889,0.72346892,CBR1,0.993478776,0.002841407,21,36001266.41,1.032678293,0.864184605,1.234023901
12382_2_DDX58,ieu-b-18,multiple sclerosis || id:ieu-b-18,12382_2_DDX58,Inverse variance weighted,4,-0.007228852,0.092171443,0.937487338,DDX58,0.998431193,0.000681859,9,32532092.96,0.992797213,0.828710102,1.189374068
12386_11_RNPEP,ieu-b-18,multiple sclerosis || id:ieu-b-18,12386_11_RNPEP,Inverse variance weighted,9,-0.014697374,0.056117678,0.793396423,RNPEP,0.993478776,0.002841407,1,201922671.8,0.985410105,0.882772264,1.099981405
12396_19_HIBCH,ieu-b-18,multiple sclerosis || id:ieu-b-18,12396_19_HIBCH,Inverse variance weighted,4,0.028266357,0.054971586,0.607112584,HIBCH,0.977196122,0.010018265,2,190381007.7,1.028669641,0.923598383,1.145694114
12401_3_STAMBPL1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12401_3_STAMBPL1,Inverse variance weighted,2,0.095281702,0.13567884,0.482517583,STAMBPL1,0.973425835,0.011697132,10,88782381.72,1.099968675,0.843117605,1.43506799
12408_333_RAB22A,ieu-b-18,multiple sclerosis || id:ieu-b-18,12408_333_RAB22A,Inverse variance weighted,2,-0.271432128,0.215954049,0.208790713,RAB22A,0.828248534,0.081839324,20,58396786.5,0.76228702,0.499223163,1.163971433
12436_84_GSTO1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12436_84_GSTO1,Inverse variance weighted,8,-0.043255742,0.038941079,0.266654535,GSTO1,0.886168581,0.052483652,10,104302660.2,0.957666443,0.887292794,1.033621621
12459_13_PLEKHA1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12459_13_PLEKHA1,Inverse variance weighted,5,-0.143472455,0.104137313,0.168288579,PLEKHA1,0.773278821,0.111663884,10,122349668.1,0.866344663,0.706394378,1.06251281
12475_48_CLIC5,ieu-b-18,multiple sclerosis || id:ieu-b-18,12475_48_CLIC5,Inverse variance weighted,8,-0.28811778,0.105385147,0.006257945,CLIC5,0.212033887,0.673594725,6,45948893.77,0.749673291,0.609770472,0.921674743
12494_99_GABARAPL2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12494_99_GABARAPL2,Inverse variance weighted,2,-0.003695541,0.261452176,0.988722538,GABARAPL2,0.998431193,0.000681859,16,75527608.28,0.996311279,0.596818755,1.663212085
12517_52_PDCD5,ieu-b-18,multiple sclerosis || id:ieu-b-18,12517_52_PDCD5,Inverse variance weighted,7,0.046354863,0.068000463,0.495438456,PDCD5,0.973425835,0.011697132,19,32615936.78,1.047446045,0.916744891,1.196781381
12524_18_SAT2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12524_18_SAT2,Inverse variance weighted,7,-0.137363692,0.071574641,0.054963195,SAT2,0.632894017,0.19866901,17,7589830.298,0.871653155,0.757561931,1.002926878
12549_33_HPGDS,ieu-b-18,multiple sclerosis || id:ieu-b-18,12549_33_HPGDS,Inverse variance weighted,7,-0.025742946,0.040712616,0.527185106,HPGDS,0.977196122,0.010018265,4,94332756.58,0.974585578,0.899838772,1.05554137
12558_3_UBASH3B,ieu-b-18,multiple sclerosis || id:ieu-b-18,12558_3_UBASH3B,Inverse variance weighted,2,-0.461732181,0.131439117,0.000443248,UBASH3B,0.039657684,1.401672651,11,122728948.5,0.630191094,0.48706736,0.815371442
12560_9_NT5C,ieu-b-18,multiple sclerosis || id:ieu-b-18,12560_9_NT5C,Inverse variance weighted,3,-0.068446465,0.118731427,0.564289806,NT5C,0.977196122,0.010018265,17,75148985.93,0.933843452,0.739959323,1.178529096
12563_2_TNFAIP8,ieu-b-18,multiple sclerosis || id:ieu-b-18,12563_2_TNFAIP8,Inverse variance weighted,4,0.075572539,0.089700483,0.399508875,TNFAIP8,0.940720759,0.026539272,5,119277901.1,1.078501458,0.904619915,1.285805647
12571_14_ARL3,ieu-b-18,multiple sclerosis || id:ieu-b-18,12571_14_ARL3,Inverse variance weighted,2,-0.048118178,0.10121529,0.634498871,ARL3,0.977196122,0.010018265,10,102872298.8,0.953021154,0.781531247,1.162140763
12573_80_TRIM3,ieu-b-18,multiple sclerosis || id:ieu-b-18,12573_80_TRIM3,Inverse variance weighted,2,-0.071800484,0.139389185,0.606477556,TRIM3,0.977196122,0.010018265,11,6427327.105,0.93071657,0.708218026,1.223116756
12575_30_MTHFD1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12575_30_MTHFD1,Inverse variance weighted,2,-0.067341928,0.416713691,0.871618977,MTHFD1,0.998431193,0.000681859,14,64547165.21,0.934875487,0.413085469,2.115765967
12594_5_GCA,ieu-b-18,multiple sclerosis || id:ieu-b-18,12594_5_GCA,Inverse variance weighted,2,-0.055569715,0.080221116,0.488493552,GCA,0.973425835,0.011697132,2,162402991.2,0.945946075,0.808315276,1.107011091
12612_37_PSMB1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12612_37_PSMB1,Inverse variance weighted,3,0.029215854,0.088778921,0.742091081,PSMB1,0.993478776,0.002841407,6,170327202.8,1.029646824,0.865203247,1.225345126
12635_9_TRDMT1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12635_9_TRDMT1,Inverse variance weighted,9,0.000711806,0.050791038,0.988818499,TRDMT1,0.998431193,0.000681859,10,17122340.41,1.000712059,0.905888881,1.105460776
12641_3_INPP5B,ieu-b-18,multiple sclerosis || id:ieu-b-18,12641_3_INPP5B,Inverse variance weighted,3,0.044695262,0.090517017,0.62146336,INPP5B,0.977196122,0.010018265,1,37789670.25,1.045709144,0.875711928,1.248706998
12662_82_ECH1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12662_82_ECH1,Inverse variance weighted,2,-0.041995098,0.166042208,0.800331416,ECH1,0.994202846,0.002524998,19,38885051.79,0.958874481,0.692506382,1.327699345
12682_5_CCBL2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12682_5_CCBL2,Inverse variance weighted,2,-0.027544632,0.054345675,0.61226618,CCBL2,0.977196122,0.010018265,1,88974066.33,0.972831262,0.874535707,1.082174984
12685_57_HOMER2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12685_57_HOMER2,Inverse variance weighted,2,0.018567024,0.188439203,0.921510991,HOMER2,0.998431193,0.000681859,15,82852677.48,1.018740463,0.704143003,1.473893976
12686_15_MPST,ieu-b-18,multiple sclerosis || id:ieu-b-18,12686_15_MPST,Inverse variance weighted,2,0.157409663,0.253468981,0.534585538,MPST,0.977196122,0.010018265,22,37123590.55,1.170475016,0.712204964,1.923620072
12687_2_DECR1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12687_2_DECR1,Inverse variance weighted,2,-0.003343548,0.24106174,0.988933624,DECR1,0.998431193,0.000681859,8,90129518.62,0.996662035,0.621372487,1.598614733
12714_38_AP1G2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12714_38_AP1G2,Inverse variance weighted,3,0.085452012,0.134466334,0.525108882,AP1G2,0.977196122,0.010018265,14,23525094.93,1.089209291,0.836857057,1.417657734
12727_7_PTGFRN,ieu-b-18,multiple sclerosis || id:ieu-b-18,12727_7_PTGFRN,Inverse variance weighted,11,0.030575903,0.035646782,0.391032457,PTGFRN,0.94043714,0.026670228,1,116893453.6,1.031048147,0.96147012,1.105661277
12731_12_PLEKHA7,ieu-b-18,multiple sclerosis || id:ieu-b-18,12731_12_PLEKHA7,Inverse variance weighted,5,0.007383147,0.052179283,0.887478311,PLEKHA7,0.998431193,0.000681859,11,16912231.94,1.00741047,0.909474565,1.11589251
12764_3_ELMO1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12764_3_ELMO1,Inverse variance weighted,3,-0.300152928,0.42244024,0.477380722,ELMO1,0.973425835,0.011697132,7,37393602.42,0.740704937,0.323636017,1.695249526
12786_61_GPCPD1,ieu-b-18,multiple sclerosis || id:ieu-b-18,12786_61_GPCPD1,Inverse variance weighted,2,-0.19762106,0.172135128,0.250944741,GPCPD1,0.882405861,0.054331616,20,5645255.381,0.820680783,0.585665829,1.150002124
12812_25_ACYP2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12812_25_ACYP2,Inverse variance weighted,2,-0.109126975,0.1257716,0.385580539,ACYP2,0.94043714,0.026670228,2,54174483.87,0.896616563,0.700725319,1.147270176
12831_21_TESC,ieu-b-18,multiple sclerosis || id:ieu-b-18,12831_21_TESC,Inverse variance weighted,11,0.066773264,0.045286832,0.140359912,TESC,0.769556868,0.113759282,12,117043897.6,1.069053058,0.978251067,1.168283357
12859_33_ECI2,ieu-b-18,multiple sclerosis || id:ieu-b-18,12859_33_ECI2,Inverse variance weighted,7,0.039278231,0.052912093,0.457887457,ECI2,0.964143158,0.015858476,6,4116382.75,1.04005982,0.937602239,1.153713574
12893_159_IFI16,ieu-b-18,multiple sclerosis || id:ieu-b-18,12893_159_IFI16,Inverse variance weighted,2,-0.654962556,0.315825944,0.038097091,IFI16,0.549483956,0.260044984,1,159012757.4,0.519461513,0.27971574,0.964694598
13059_33_RFK,ieu-b-18,multiple sclerosis || id:ieu-b-18,13059_33_RFK,Inverse variance weighted,4,-0.230118997,0.11874465,0.052631582,RFK,0.618689612,0.208527176,9,76626218.46,0.794439061,0.629481691,1.002623954
13083_18_VARS,ieu-b-18,multiple sclerosis || id:ieu-b-18,13083_18_VARS,Inverse variance weighted,4,-1.053332109,0.721217913,0.144155241,VARS,0.769556868,0.113759282,6,31946825.74,0.348773659,0.084845848,1.433694961
13088_397_BTC,ieu-b-18,multiple sclerosis || id:ieu-b-18,13088_397_BTC,Inverse variance weighted,5,0.138072969,0.082537881,0.094358082,BTC,0.729061051,0.137236103,4,74723642.71,1.148059321,0.976577392,1.349652587
